STATION,STNAME,LATITUDE,LONGITUDE,FISHING,FISH,Field pH,Field DO,Field Temp,Field SampTemp,Field AirTemp,Field SampDepth,Field Turb,Field EC,EC,Color,Temp,pH,Total Alk,BiCarb,Cab,OH,Hardness,CalcHardness,Calc TDS,TSS,Ca,Cl,Mg,Nitrate,Nitrite,NO3+NO2,Ammonia,Kjeldahl N,Total N,DO,Total P,FRP,K,Na,SO4,Al,As,Cd,Cr,Cu,F,Fe,Pb,Mn,Hg,Mo,Ni,Se,SiO2,Zn,Anions,Cations,TOC,DOC,Chlorophyll-a,Phaeophytin,LOCATION,BOATING,ZONETYPE,ZONESUBTYP,DISPLAY_HE,ZONEID
225810,RAIN GAUGE (AVON RIVER),-37.53120709,147.0060348,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REEVE KNOB,0,,,,
225819,RAINGAUGE,-37.6952044,146.5049119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT USEFUL,0,,,,
225823,RAINGAUGE,-37.83986,146.68784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLANKET HILL,0,,,,
225824,RAINGAUGE (MACALISTER RV),-37.286482,146.7184729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNOWY RANGE,0,,,,
225825,RAINGAUGE (MACALISTER RV),-37.225254,146.603635,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH RIDGE,0,,,,
225826,RAINGAUGE (MACALISTER RV),-37.33990803,146.4241852,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT SUNDAY,0,,,,
226005,LATROBE RIVER,-38.166772,146.4097,0,,309,310,0,0,0,310,310,0,0,192,0,76,122,0,0,0,0,0,0,192,122,122,122,0,0,0,0,192,0,0,192,144,122,122,121,0,0,0,0,0,3,46,0,46,3,0,0,0,45,0,0,0,45,0,0,0,THOMS BRIDGE,0,,,,
226007,TYERS RIVER,-38.04843951,146.3557807,0,,200,199,0,0,0,198,213,0,0,210,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,1,210,0,0,210,210,0,0,0,0,210,210,210,210,0,0,210,0,210,0,210,0,0,210,0,0,0,0,0,0,BROWNS,0,,,,
226008,TYERS RIVER WEST BRANCH,-37.94434539,146.3086626,0,,67,67,0,0,0,66,84,0,0,80,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,1,80,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MORGANS MILL,0,,,,
226017,JACOBS CREEK,-38.0518048,146.3885082,0,,200,199,0,0,0,198,213,0,0,211,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,1,210,0,0,210,209,0,0,0,0,209,209,209,209,0,0,209,0,209,0,209,0,0,209,0,0,0,0,0,0,O'TOOLES,0,,,,
