AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area
0.00000073770,0.00380868429,GunbowerCreek_0001,"073",Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,"5",16/12/2011,,26.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 073, Clause 5",SkiingPermitted.png,073-2,Tad Knaggs,0.00380868448,0.00000073770
0.00000314133,0.01719252813,GunbowerCreek_0003,"073",Geomatic Technologies,VicMap Modified,Vessels Prohibited,All Vessels,"9",16/12/2011,,26.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 073, Clause 9",NoBoating.png,073-4.a,Tad Knaggs,0.01719252925,0.00000314133
0.00000176131,0.00892083269,GunbowerCreek_0004,"073",Geomatic Technologies,VicMap Modified,Vessels Prohibited,All Vessels,"9",16/12/2011,,26.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 073, Clause 9",NoBoating.png,073-4.b,Tad Knaggs,0.00892083146,0.00000176131
0.00000027812,0.00243654446,Hamilton-Lake_0003,"038",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",3/05/2012,,27.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 038, Clause 9",NoBoating.png,038-2.a,Tad Knaggs,0.00243654458,0.00000027812
0.00000164102,0.00800301008,Hamilton-Lake_0004,"038",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",3/05/2012,,27.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 038, Clause 9",NoBoating.png,038-2.b,Tad Knaggs,0.00800300859,0.00000164102
0.00000020145,0.00194712117,Hamilton-Lake_0007,"038",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",3/05/2012,,27.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.a,Tad Knaggs,0.00194712102,0.00000020145
0.00000014670,0.00158481819,Hamilton-Lake_0008,"038",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",3/05/2012,,27.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.b,Tad Knaggs,0.00158481794,0.00000014670
0.00004906380,0.06948647819,HazelwoodPond_0001,"110",Geomatic Technologies,VicMap Modified,Vessels Prohibited,All Vessels,"9",25/03/2008,,28.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 110, Clause 9",NoBoating.png,110-1.a,Jamie Portman,0.06948647967,0.00004906380
0.00002133585,0.01867866890,HazelwoodPond_0002,"110",Geomatic Technologies,VicMap Modified,Vessels Prohibited,All Vessels,"9",25/03/2008,,28.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 110, Clause 9",NoBoating.png,110-1.b,Jamie Portman,0.01867866883,0.00002133585
0.00004113993,0.04867515437,HazelwoodPond_0003,"110",Geomatic Technologies,VicMap Modified,Vessels Prohibited,All Vessels,"9",25/03/2008,,28.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 110, Clause 9",NoBoating.png,110-1.c,Jamie Portman,0.04867515354,0.00004113993
0.00000121207,0.00438517342,HazelwoodPond_0004,"110",Geomatic Technologies,VicMap Modified,Vessels Prohibited,All Vessels,"9",25/03/2008,,28.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 110, Clause 9",NoBoating.png,110-1.d,Jamie Portman,0.00438517271,0.00000121207
0.00000997959,0.03617971295,HazelwoodPond_0005,"110",Geomatic Technologies,VicMap Modified,Vessels Prohibited,All Vessels,"9",25/03/2008,,28.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 110, Clause 9",NoBoating.png,110-1.d.iv,Jamie Portman,0.03617971378,0.00000997960
0.00000694802,0.03106865553,HopkinsRiver_0006,"022",Geomatic Technologies,VicMap,Activities Prohibited,Mooring,"12",25/06/2012,,29.00000000000,,Activities Prohibited (Mooring),,"0",,AUTO,"Refer to Schedule 022, Clause 12",NoAnchoring.jpg,022-4.a,Tad Knaggs,0.03106865516,0.00000694801
0.00002012749,0.03743827613,HopkinsRiver_0007,"022",Geomatic Technologies,VicMap,Activities Prohibited,Mooring,"12",25/06/2012,,29.00000000000,,Activities Prohibited (Mooring),,"0",,AUTO,"Refer to Schedule 022, Clause 12",NoAnchoring.jpg,022-4.b,Tad Knaggs,0.03743827532,0.00002012749
0.00000029524,0.00227116517,KangarooLake_0001,"140",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",11/07/2011,,30.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.a,Tad Knaggs,0.00227116424,0.00000029524
